Freq[Hz]        [Ohm]           Phase[Deg]
10.00           6.77            0.85
10.08           6.76            0.84
10.15           6.75            0.83
10.23           6.74            0.85
10.31           6.74            0.88
10.38           6.74            0.92
10.46           6.74            0.98
10.54           6.74            1.05
10.62           6.75            1.11
10.70           6.75            1.18
10.78           6.76            1.24
10.86           6.76            1.29
10.95           6.77            1.32
11.03           6.77            1.33
11.11           6.78            1.31
11.20           6.78            1.28
11.28           6.78            1.23
11.37           6.78            1.18
11.45           6.78            1.13
11.54           6.77            1.08
11.63           6.77            1.04
11.71           6.77            1.03
11.80           6.77            1.03
11.89           6.76            1.06
11.98           6.76            1.10
12.07           6.76            1.16
12.16           6.75            1.22
12.26           6.75            1.28
12.35           6.75            1.34
12.44           6.75            1.38
12.54           6.75            1.40
12.63           6.76            1.41
12.73           6.76            1.41
12.82           6.77            1.39
12.92           6.77            1.37
13.02           6.78            1.34
13.12           6.78            1.32
13.21           6.78            1.31
13.31           6.78            1.30
13.41           6.77            1.30
13.52           6.77            1.31
13.62           6.76            1.32
13.72           6.76            1.34
13.83           6.75            1.37
13.93           6.75            1.40
14.04           6.75            1.43
14.14           6.75            1.46
14.25           6.76            1.50
14.36           6.76            1.52
14.46           6.77            1.54
14.57           6.77            1.56
14.68           6.77            1.56
14.80           6.77            1.55
14.91           6.77            1.53
15.02           6.77            1.51
15.13           6.77            1.49
15.25           6.77            1.48
15.36           6.76            1.48
15.48           6.76            1.50
15.60           6.76            1.53
15.71           6.76            1.58
15.83           6.76            1.62
15.95           6.76            1.66
16.07           6.76            1.70
16.19           6.76            1.71
16.32           6.77            1.72
16.44           6.77            1.71
16.56           6.77            1.69
16.69           6.77            1.68
16.82           6.77            1.67
16.94           6.77            1.67
17.07           6.77            1.68
17.20           6.77            1.70
17.33           6.76            1.72
17.46           6.76            1.75
17.59           6.76            1.78
17.73           6.76            1.81
17.86           6.76            1.84
18.00           6.77            1.86
18.13           6.77            1.88
18.27           6.77            1.89
18.41           6.77            1.89
18.55           6.77            1.88
18.69           6.77            1.87
18.83           6.77            1.87
18.97           6.77            1.87
19.11           6.77            1.89
19.26           6.76            1.92
19.40           6.76            1.96
19.55           6.76            2.00
19.70           6.76            2.03
19.85           6.77            2.06
20.00           6.77            2.07
20.15           6.77            2.07
20.30           6.77            2.06
20.45           6.77            2.06
20.61           6.77            2.06
20.77           6.77            2.07
20.92           6.77            2.08
21.08           6.77            2.11
21.24           6.76            2.14
21.40           6.76            2.17
21.56           6.77            2.21
21.73           6.77            2.24
21.89           6.77            2.26
22.05           6.77            2.27
22.22           6.77            2.27
22.39           6.77            2.26
22.56           6.77            2.25
22.73           6.77            2.26
22.90           6.77            2.28
23.07           6.77            2.31
23.25           6.77            2.35
23.42           6.77            2.39
23.60           6.77            2.42
23.78           6.77            2.44
23.96           6.77            2.46
24.14           6.78            2.46
24.32           6.78            2.46
24.51           6.78            2.46
24.69           6.77            2.46
24.88           6.77            2.47
25.07           6.77            2.50
25.26           6.77            2.55
25.45           6.77            2.59
25.64           6.77            2.63
25.83           6.77            2.66
26.03           6.78            2.67
26.23           6.78            2.67
26.43           6.78            2.67
26.63           6.78            2.67
26.83           6.77            2.68
27.03           6.77            2.70
27.23           6.77            2.73
27.44           6.77            2.78
27.65           6.77            2.83
27.86           6.77            2.86
28.07           6.78            2.88
28.28           6.78            2.88
28.49           6.78            2.88
28.71           6.78            2.88
28.93           6.78            2.89
29.14           6.77            2.91
29.36           6.77            2.95
29.59           6.77            2.99
29.81           6.77            3.04
30.04           6.78            3.08
30.26           6.78            3.10
30.49           6.78            3.10
30.72           6.78            3.09
30.95           6.78            3.10
31.19           6.78            3.11
31.42           6.77            3.14
31.66           6.77            3.19
31.90           6.77            3.24
32.14           6.78            3.29
32.39           6.78            3.32
32.63           6.78            3.32
32.88           6.78            3.32
33.13           6.78            3.32
33.38           6.78            3.33
33.63           6.78            3.36
33.88           6.78            3.41
34.14           6.78            3.47
34.40           6.78            3.52
34.66           6.78            3.54
34.92           6.79            3.55
35.18           6.79            3.55
35.45           6.79            3.56
35.72           6.78            3.57
35.99           6.78            3.60
36.26           6.78            3.66
36.53           6.78            3.72
36.81           6.78            3.76
37.09           6.79            3.78
37.37           6.79            3.79
37.65           6.79            3.79
37.94           6.79            3.80
38.22           6.78            3.82
38.51           6.78            3.87
38.80           6.78            3.93
39.10           6.78            3.98
39.39           6.79            4.02
39.69           6.79            4.04
39.99           6.79            4.04
40.29           6.79            4.04
40.60           6.79            4.07
40.90           6.78            4.12
41.21           6.78            4.17
41.53           6.79            4.23
41.84           6.79            4.27
42.16           6.79            4.28
42.47           6.79            4.29
42.80           6.79            4.30
43.12           6.79            4.33
43.45           6.79            4.38
43.77           6.79            4.44
44.10           6.79            4.49
44.44           6.79            4.53
44.77           6.80            4.54
45.11           6.80            4.54
45.45           6.79            4.56
45.80           6.79            4.60
46.14           6.79            4.66
46.49           6.79            4.73
46.84           6.80            4.78
47.20           6.80            4.80
47.56           6.80            4.81
47.91           6.80            4.82
48.28           6.80            4.85
48.64           6.79            4.91
49.01           6.79            4.98
49.38           6.80            5.03
49.75           6.80            5.07
